address,kind,subject,offset,detail,evidence,status
0x0042BD40,embedded,Datalink,0xA14,"SubInterface sub-object embedded at +0xA14, reached by set_iface_mode too","lea ecx,[esi+0xa14] with esi=this before call set_iface_mode; body byte-exact",open
0x0041E8B0,class,BaseWin CouncWin Datalink DiploWin SocialWin,0xA14,"five distinct classes place SubInterface at the SAME +0xA14 and all reach Win::is_visible through a cast of an unadjusted `this` - a common window base, not five coincidences","grep over src/ and src/recovered/: (SubInterface*)((char*)this+0xA14) occurs under exactly these five enclosing classes, and no src/*.h declares any inheritance at all",open
0x005F8550,member,Win,0x440,Scroll* pointer member (horizontal scrollbar),"mov ecx,[ecx+0x440] loaded as a VALUE and used directly as the receiver of Scroll::on_mousewheel_down - not lea'd, so a pointer and not an embedded object; body byte-exact",open
0x005F8570,member,Win,0x43C,Scroll* pointer member (vertical scrollbar),"mov ecx,[ecx+0x43c] loaded as a VALUE and used directly as the receiver of Scroll::on_mousewheel_up; body byte-exact",open
0x004E09E0,class,InfoWin,0x7AD2A0,"a fixed-address global InfoWin instance, not a pointer variable","mov ecx,0x7AD2A0 as an IMMEDIATE (no dereference) then tail-jmp into InfoWin::on_redraw's thiscall body; body byte-exact",open
0x00422DC0,class,MainInterface,0x7AF234,a fixed-address global MainInterface singleton,"mov ecx,0x7af234 immediate before call MainInterface::on_iface_button_clicked; body byte-exact",open
0x00428DD0,member,Credits,0xA14,"one-dword counter, incremented once per call when `this` is non-null",inc dword ptr [ecx+0xa14] with ecx loaded from [ebp+8] as this; body byte-exact,open
0x00444D90,class,DiploWin,0x73ACD8,a fixed-address global DiploWin singleton reached from a free function,"mov ecx,0x73acd8 immediate before call DiploWin::exec(int,int); body byte-exact; same address docs/recovery/class-size-bounds.csv records as the g_DIPLOWIN construction target",open
0x0064584D,emitter,-,-,a bare x87 opcode with no preceding call was INLINED in the original source and is unreachable through permitted C++ in this toolchain - do not re-attempt,"0x0064584D matches for 4 of 5 instructions under /O2 and diverges only at `fnclex` (DB E2); both _clear87() and _fpreset() were measured and emit a real `call` instead, giving MISMATCH #4 original 'fnclex' vs rebuilt 'call'",open
0x00515430,emitter,-,-,"/O1 compiles a zero-store as `and dword ptr [addr],0` where /O2 uses `mov dword ptr [addr],0` - a second /O1-vs-/O2 axis beyond the pop-vs-add one already documented",0x00515430 reaches BYTE_EXACT only under /O2; under /O1 the store of 0 to g_00939ed8 assembles as `and`,open
0x00447B30,member,BAmbience,0x70,dword counter incremented by 1 each call,"mov eax,[esi+0x70]; inc eax; mov [esi+0x70],eax with esi=this; body byte-exact",open
0x00447B30,member,BAmbience,0x74,"dword, read-only here, passed as slot 69's second argument","mov ecx,[esi+0x74]; pushed, never written back; body byte-exact",open
0x00447B30,vtable-slot,Ambience,0x114,"slot 69 takes two ints: (0xd, the dword at +0x74)",the +0x74 push is hoisted before the intervening slot-67 vtable fetch and consumed with a later push 0xd by call [eax+0x114]; body byte-exact,open
0x00442560,embedded,DiploWin,0xDA7C,"EditBox sub-object with its own vtable (idb-members.csv names it editBox, size hint 2932); diplowin.h stubs it as uint8_t[4]","mov edx,[ecx+0xda7c] loads its OWN vtable pointer and add ecx,0xda7c adjusts this before the virtual call - both required for a real sub-object rather than raw data; body byte-exact",open
0x0052DB40,table,-,0x93E99C,"8 records of 0x19C bytes; 5 bytes written per record at +0..+4 as FF,00,00,FF,02","do/while of 8 advancing by 0x19C, writing only those 5 bytes; body byte-exact",open
0x0051DFD0,table,-,0x93A060,"50 records of 6 dwords (0x18 bytes), all zeroed","loop of 50 zeroing 6 dwords per record at -4,0,4,8,12,16 and advancing 0x18; body reached MNEMONIC_ONLY",open
0x0052DB40,emitter,-,-,"VC6 emits `or reg8,0xFF` rather than `mov` only when the destination is a signed char* and the literal is -1; uint8_t/0xff always folds to mov",~10 standalone variants compiled through wine CL.EXE with the harness flags; body byte-exact once written with char* and -1,open
0x0051DFD0,emitter,-,-,"for six same-valued sequential dword stores VC6 anchors zero displacement at the third-smallest offset regardless of source form - unlike the five-store mixed-value case at 0x0052DB40, where source form does decide the anchor","~15 standalone variants (raw negative indexing, pre-shifted indexing, struct fields, do-while/for/while, pointer-compare vs induction) all converge on the same +4 shift",open
0x00618E10,emitter,Caviar,-,"the catalogued QAA (non-static __cdecl member) is incompatible with the observed bytes: the sole parameter is read at [esp+4], where a non-static __cdecl member puts `this`",an isolated 1-parameter member compiled through this project's own CL puts a1 at [esp+8]; the static equivalent reproduces [esp+4]; none of vx_malloc/vx_read/vx_write reference ecx or [ecx+N] anywhere,open
0x00610420,member,SpriteBox,0x0,pointer to a type descriptor whose own +0x8 holds the byte offset of the embedded Dialog sub-object,"mov ecx,[esi]; mov ecx,[ecx+8]; add ecx,esi before the Dialog::init call, in both init overloads; bodies byte-exact",open
0x00629750,embedded,StringBox,0x2B70,embedded StringList sub-object,"lea ecx,[esi+0x2b70] before the StringList::add_special call",open
0x00608770,member,StringList,0x18,ownership guard: kill_entry frees only when this dword is zero,"mov edx,[ecx+0x18]; test edx,edx; jne skip; body byte-exact",open
0x0041B4A0,member,BaseWin,0x40B10,"plain int, written only when the first argument is 1","mov dword ptr [ecx+0x40b10],eax with ecx=this; matches field_40B10_ already in src/basewin.h; body byte-exact",open
0x0041B4A0,emitter,-,-,"VC6 compiles a single-case `switch (x) { case 1: }` to `dec eax; jne` but `if (x == 1)` to a direct `cmp [ebp+8],1` - the two are not interchangeable when matching",0x0041B4A0 diverges at instruction #2 with the if-form and is byte-exact with the switch-form,open
0x00629750,callgraph,StringList,-,?add_special@StringList@@QAEXPAD@Z is catalogued void but returns 0/1 in eax,"0x00608BA0 ends `neg eax; sbb eax,eax; neg eax; ret 4`, which normalises a boolean into eax before returning",open
0x00629750,callgraph,StringBox,-,?add_special@StringBox@@QAEXPAD@Z is catalogued void but ends with an explicit return 0,"0x00629750 ends `xor eax,eax; pop esi; ret 4` on the taken branch; no source form for a genuinely void function reproduces an unread `xor eax,eax` (volatile locals spill to the stack, plain locals are dead-store eliminated)",open
0x00590D40,member,-,0x2,uint8 index into the 0x945A60 dispatch table,"mov al,[ecx+2] used only as the *8 index; body byte-exact",open
0x005D6350,vtable-slot,-,0x11C,"slot 71 takes three ints (msg, wparam, lparam) and its result is discarded","three pushes reloaded from [esp+0x10] matching the caller's own message slots, then call [edx+0x11c]; body byte-exact",open
0x005D6350,callgraph,-,-,a Win32 trampoline: recovers a C++ object from GWL_USERDATA and forwards the message to vtable slot 71,"call [0x66934c] (the GetWindowLongA import) with index -0x15, which is GWL_USERDATA; body byte-exact",open
0x00615E40,vtable-slot,EditBox,0xF8,slot 62 takes one int rather than none,"caret_callback is QAEXH@Z so the caller expects 4 bytes popped, yet its own 31 bytes contain NO ret - only a tail-jumped callee doing `ret 4` balances the stack, which requires it to consume one 4-byte argument",open
0x004C8910,emitter,-,-,"an isolated per-function compile cannot reproduce a cross-function /Gy tail fold, so a body whose catalogued span excludes its own `ret` is unreachable by construction","0x004C8910's je target is the ENTRY of a different catalogued symbol whose whole 4-byte body is `or eax,-1; ret`; a faithful `return -1` compiles to 19 bytes against a 15-byte span under every flag set",open
0x0051E390,emitter,-,-,"VC6's rep-stosd template fixes the order of its own setup: the original hoists `xor eax,eax` BEFORE `mov ecx,8` and no source form reverses it","0x0051E390 matches 12 of 13 mnemonics and both rep stosd blocks at equal byte count; memset, ascending and descending hand loops, scoped loop variables and a hoisted const zero all emit the count first",open
0x0052A980,emitter,-,-,"VC6 will not hoist an `or reg8,0xFF` constant out of a loop: /O2 hoists it as `mov`, /O1 re-embeds it as `or` each iteration, and neither is the original's hoisted `or`","measured across all four flag sets with plain immediate, named local, const, volatile-adjacent, explicit x|0xFF, register storage class and a discarded __fastcall parameter",open
0x0052A980,table,-,0x9AB898,512 records of 0x34 bytes ending at 0x9B2098; bit 0 of each record's first byte is cleared and a 0xFF sentinel is written 2 bytes BEFORE the record base,"add eax,0x34 stride against cmp eax,0x9b2098; and byte ptr[eax],0xfe with mov byte ptr[eax-2],cl",open
